ZH1,ZH2,Eredm
16,30,4
2,7,0
28,20,3
2,5,0
31,16,4
29,38,5
29,23,3
6,0,0
18,19,1
0,0,0
28,27,4
20,23,4
0,3,0
36,32,5
30,32,5
36,37,5
29,30,4
33,20,3
7,6,0
24,21,3
23,27,3
0,0,0
29,27,5
16,19,2
18,29,3
5,4,0
17,24,2
23,35,5
33,38,5
21,13,0
36,26,5
19,20,2
30,29,5
7,3,0
6,7,0
32,31,5
28,35,5
7,2,0
0,0,0
25,21,3
28,32,4
8,5,0
0,8,0
24,28,4
22,25,1
16,18,1
31,28,5
33,27,5
20,23,2
25,21,3
21,33,4
27,35,5
30,35,5
35,38,5
30,35,4
20,17,2
3,4,0
28,30,5
20,21,3
21,24,3
19,21,3
23,18,2
27,30,4
5,5,0
24,25,3
26,35,5
17,17,1
23,20,2
25,19,3
34,5,5
32,33,5
28,23,4
24,19,3
22,21,1
33,20,3
25,26,2
21,20,2
17,23,3
24,24,2
19,22,2
25,17,2
19,27,2
27,27,3
27,22,3
29,26,3
30,27,5
22,31,3
19,23,3
23,26,3
24,21,3
0,7,0
22,26,5
23,21,2
31,22,4
27,25,3
30,25,5
20,24,3
1,4,0
30,27,5
27,32,5
31,30,5
22,32,3
4,7,0
32,21,5
8,22,2
32,27,4
5,1,0
23,26,3
25,16,3
23,27,3
2,3,0
27,7,5
17,18,3
31,25,5
6,4,0
18,17,3
2,4,0
32,29,5
30,35,5
21,27,3
21,27,1
8,0,0
2,19,2
4,3,0
33,19,3
31,30,5
38,28,5
1,0,0
24,27,3
6,6,0
30,38,5
18,21,1
34,34,5
6,3,0
25,26,3
7,5,0
7,2,0
34,31,5
19,19,2
22,27,2
0,0,0
32,25,3
26,34,5
0,0,0
2,2,0
4,13,0
31,20,4
32,20,4
35,25,5
20,28,3
26,30,5
32,35,5
28,23,1
0,0,0
19,23,2
23,25,3
34,40,5
37,36,5
6,8,0
6,13,0
2,0,0
29,27,3
20,22,2
19,16,4
25,30,4
28,18,2
15,19,2
33,24,1
28,31,5
23,21,2
1,0,0
33,25,5
4,24,2
14,5,0
5,16,2
0,2,0
26,26,3
29,26,4
16,22,2
7,7,0
31,25,4
20,20,4
1,5,0
32,24,5
4,0,0
19,19,3
6,0,0
19,22,4
16,22,2
